"ID","LINK","DESCRIPTION","TYPE","COLOR","PATTERN","OUTFIT"
"b00","https://raw.githubusercontent.com/f4shionrecommendation/fashion_reccom/master/img/lower/b00.jpg","Golden Trousers","trousers","gold","plain",1
"b01","https://raw.githubusercontent.com/f4shionrecommendation/fashion_reccom/master/img/lower/b01.jpg","Fuchsia Skirt","skirt","fuchsia","plain","plain",2
"b02","https://raw.githubusercontent.com/f4shionrecommendation/fashion_reccom/master/img/lower/b02.jpg","Red Sporty Trousers","trousers","red","plain",3
"b03","https://raw.githubusercontent.com/f4shionrecommendation/fashion_reccom/master/img/lower/b03.jpg","Black shorts","shorts","black","plain",4
"b04","https://raw.githubusercontent.com/f4shionrecommendation/fashion_reccom/master/img/lower/b04.jpg","Beige skirt","skirt","beige","plain",6
"b05","https://raw.githubusercontent.com/f4shionrecommendation/fashion_reccom/master/img/lower/b05.jpg","Blue Jeans","trousers","blue","plain",7
